ID,Tienda,Producto,Precio,Stock,Garantia,Ubicacion,Cantidad de Ventas
1,,"Blu Joy - 2.4 \, Teléfono Desbloqueado Fábrica - Negro",114.900,(2 disponibles),,"Antonio Nariño, Bogotá D.C.",1154
CGVMOBILEPHONES
2,,Telefono Blu Advance L5 Android 8.1 8gb Memoria Dual Sim,149.900,(7 disponibles),Sin garantía,"Antonio Nariño, Bogotá D.C.",1154
CGVMOBILEPHONES
3,,Minnie Bowtique Telefono Celular Incluye Sonidos,53.900,,30 DIAS POR DEFECTOS DE FABRICA.,"Barranquilla, Atlantico",2989
TINYBABIES
4,,Teléfono Celular Huawei Y6p Memoria 64gb Ram 4gb Negro Verde,599.900,(1 disponibles),Garantía de fábrica: 12 meses,"Medellín, Antioquia",762
SHIKI_NIKI+IMPORT
5,,Telefono Celular Samsung A11 32gb 2gb Ram Cámara 13+5+2 Mp,599.900,(1 disponibles),Garantía de fábrica: 12 meses,"Medellín, Antioquia",762
SHIKI_NIKI+IMPORT
6,,Telefono Celular Zte Blade A5 2020 32gb Memoria 2gb Ram,427.900,(2 disponibles),Garantía de fábrica: 12 meses,"Medellín, Antioquia",762
SHIKI_NIKI+IMPORT
7,,Telefonos Celulares,50.000,(1 disponibles),Garantía de fábrica: 20 días,"Floridablanca, Santander",19
LUISEN05823
8,,Celular Teléfono Móvil Samsung Galaxy A01  32gb -2 Gb Ram,450.000,(8 disponibles),Garantía de fábrica: 12 meses,"Cali, Valle Del Cauca",32
JORGEANDRADECOLML
9,,Telefono Celular Samsung Galaxy Sm-a013 Core A01 16gb Dual,289.900,(2 disponibles),Garantía de fábrica: 1 años,"Medellín, Antioquia",721
HUECOVIRTUAL.CO
10,,Teléfono Barato,49.990,(7 disponibles),Garantía de fábrica: 12 meses,"Cali, Valle Del Cauca",77
JHAREDMARTINEZ
11,,Telefono Smartphone Ulefone Armor X3 Ip68 Resistente 5000mha,599.900,(2 disponibles),Garantía del vendedor: 60 días,"Riohacha, Guajira",358
ENREMATES0
12,,Telefono Celular Xiaomi Redmi Note 9 128gb 4ram Gris Azulado,799.900,(2 disponibles),Garantía de fábrica: 12 meses,"Medellín, Antioquia",762
SHIKI_NIKI+IMPORT
13,,Smartphone Fisher Price Teléfono Inteligente Celular  Dkk10,89.900,(4 disponibles),1 mes por defectos del fabricante no aplica años ni mal uso por parte del comprador,"Martires, Bogotá D.C.",11599
MCKTOYS.COM
14,,Teléfono Celular Ipro V5 Display Fallando Pero Funciona,135.000,(1 disponibles),Sin garantía,"Cali, Valle Del Cauca",32
JORGEANDRADECOLML
15,,Teléfono Celular Nokia Asha 303,304.405,(1 disponibles),Sin garantía,"Cali, Valle Del Cauca",158
MATHIASCAS
16,,Teléfono Alcatel My Flip (tracfone Prepaid),99.000,,,"Usaquén, Bogotá D.C.",10
JAAN8406935
